"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"288",58,15880818,954.5,1,967.2,519.7,17,0.8,556.5,15880834
"289",91,15881170,929.6,1,954.3,551.9,22,0.52,546.4,15881191
"290",83,15881730,987.6,1,948.6,547.1,14,0.8,552.7,15881743
"291",120,15881950,931,1,986,544.4,22,1.14,534.7,15881971
"292",51,15882359,915.2,1,926.6,541.8,17,0.35,529.3,15882375
"293",343,15883035,544.4,1,910.5,529.2,42,7.37,525.2,15883076
"294",164,15883406,503.7,1,557.8,526.4,29,1.1,515,15883434
"295",461,15883512,1221.7,1,497.5,524.1,65,14.62,626.8,15883576
"296",360,15883770,1554,1,1237,630.1,45,7.39,438.3,15883814
"297",1108,15884186,842.1,1,1566.8,459.7,282,18.7,1081.5,15884467
"298",650,15884708,933.7,1,852.9,1067.2,251,2.72,953.4,15884958
"299",188,15885193,1047.2,1,923.6,926.3,39,4.64,729.2,15885231
"300",436,15885603,1734.3,1,1061.6,732.5,53,14.01,1008,15885655
"301",53,15885941,1741.6,1,1729.9,998.3,10,0.48,975.7,15885950
"302",487,15885989,964.9,1,1743.4,968.3,68,17.06,560.9,15886056
"303",154,15886617,923.3,1,968,587.6,30,1.87,508,15886646
"304",66,15887146,932.7,1,910.1,529,14,0.75,558,15887159
"305",93,15887570,913.8,1,934.4,567.1,25,0.55,550,15887594
"306",156,15888863,867.6,1,915.7,531.8,32,1.03,547.8,15888894
"307",184,15889066,942.1,1,870.2,549.5,33,1.47,556.6,15889098
"308",171,15889255,903.6,1,957.2,561.9,31,1.1,567.4,15889285
"309",54,15889533,903.5,1,889,577.4,6,0.31,572,15889538
"310",39,15889802,914.6,1,904,562.7,6,0.22,560.2,15889807
"311",213,15889977,603.3,1,912.7,551.7,45,6.27,522.9,15890021
"312",194,15890202,480,1,613.5,536,26,2.66,533,15890227
"313",490,15890421,1285,1,486.6,545.5,56,15.92,561.7,15890476
"314",189,15890749,1404.1,1,1306.3,567.5,24,1.95,566.6,15890772
"315",574,15890927,523.8,1,1403.6,570.6,69,17.48,541.3,15890995
"316",117,15891255,570,1,517.3,544.1,23,1.05,546.1,15891277
"317",306,15891643,314.6,1,577.3,544.1,34,5.17,550.6,15891676
"318",262,15892101,754,1,328.9,547.7,51,8.46,594,15892151
"319",208,15892676,990.9,1,776.5,605.4,38,4.36,625.8,15892713
"320",290,15892990,778.7,1,1005.9,633.6,45,5.08,528.8,15893034
"321",284,15893288,987.2,1,795.5,540,29,4.33,632.8,15893316
"322",180,15893663,910.7,1,1001.2,632.1,24,1.85,622.9,15893686
"323",212,15894214,787.6,1,917.1,615,23,2.65,595.5,15894236
"324",192,15894686,904.3,1,784.1,571.9,25,2.44,573.2,15894710
"325",168,15895606,920,1,831.1,572,25,1.81,577.6,15895630
"326",118,15895870,883.7,1,911.6,560.7,26,0.59,552.1,15895895
"327",159,15896325,818.8,1,870,559.8,31,1.05,565.3,15896355
"328",113,15896585,883.1,1,812.5,563.4,21,1.56,533.4,15896605
"329",366,15896797,565.9,1,882.8,526.1,35,6.6,447.5,15896831
"330",459,15897047,1318.3,1,575.5,446.2,55,14.91,476.8,15897101
"331",86,15897364,1335.6,1,1335.3,483.9,17,0.93,529.3,15897380
"332",178,15897698,958.6,1,1334,533.5,85,7.64,586,15897782
"333",83,15898962,899.6,1,940.1,612.6,61,1.53,675.7,15899022
"334",261,15899301,870.7,1,915.8,618.7,173,1.63,685,15899473
"335",1084,15899728,795.6,1,891.2,663.9,163,2.27,606.2,15899890
"336",1146,15900370,887.2,1,807.3,604.8,197,1.83,647,15900566
"337",90,15901176,879.4,1,884.4,635.3,23,1.67,553.9,15901198
"338",176,15902374,964.1,1,874.3,559.2,23,1.86,575.4,15902396
"339",193,15902594,855.9,1,967.5,569.8,25,2.27,568.8,15902618
"340",176,15903443,927.7,1,870.2,573.8,41,1.2,586.5,15903483
"341",278,15903668,1238.8,1,937.8,588.8,42,6.24,523.4,15903709
"342",604,15903873,470.5,1,1238.6,521.9,63,15.35,556.6,15903935
"343",473,15904329,1267.7,1,459.6,575.7,58,16.14,516.7,15904386
"344",357,15908331,626.9,1,1215.3,513.7,66,11.88,554,15908396
"345",129,15909223,861.8,1,794.7,577,19,1.4,594.2,15909241
"346",45,15909427,889.8,1,877.8,582.5,7,0.31,573.5,15909433
"347",73,15909663,881.2,1,900.5,579.6,19,0.62,556.4,15909681
"348",139,15909958,837.2,1,891.1,550.5,28,1.16,531.7,15909985
"349",222,15910478,556.8,1,823.5,526.1,42,5.4,554.3,15910519
"350",445,15910724,1310,1,565.8,557.7,65,14.88,554.1,15910788
"351",111,15911116,1368.9,1,1334.7,559,23,0.69,564.6,15911138
"352",98,15911705,1296.6,1,1350.8,557.3,15,1.08,556.3,15911719
"353",110,15911961,1342.9,1,1279.1,556.1,21,1.34,576.1,15911981
"354",224,15912213,1581.2,1,1323.6,562.7,43,6.33,753.4,15912255
"355",374,15912459,789.1,1,1589.9,745.9,76,16.97,441.5,15912534
"356",141,15913082,876.7,1,809.3,442,24,1.79,497.9,15913105
"357",120,15913610,934.2,1,873.2,501.1,23,1.57,548,15913632
"358",144,15914159,894.7,1,931.1,540.2,32,0.78,527.8,15914190
"359",98,15915116,884.2,1,884.3,510.8,29,0.05,513.2,15915144
"360",93,15916017,909.5,1,894.5,516.7,24,1.01,563.7,15916040
"361",63,15916286,882,1,913.4,566.6,13,0.64,565.7,15916298
"362",137,15916610,873.4,1,903.4,587.2,27,1.15,539.9,15916636
"363",362,15917306,517.1,1,852,532.3,40,6.78,573.8,15917345
"364",214,15917579,396.1,1,529.6,579.9,25,2.66,561.3,15917603
"365",233,15917845,545.2,1,391.6,560.4,25,3.09,589.9,15917869
"366",253,15918224,366.8,1,580.4,590.7,38,4.31,546.5,15918261
"367",495,15918569,1316.7,1,375.1,549.1,59,18.67,500.7,15918627
"368",546,15918886,474.2,1,1332.7,502.9,64,17.11,552.5,15918949
"369",513,15919307,1325.2,1,479.4,558.1,55,16.88,496.8,15919361
"370",133,15919652,1366.6,1,1345.3,499.1,24,1.64,576.9,15919675
"371",517,15920190,959.5,1,1351.6,580.9,232,7.95,535.4,15920421
"372",197,15920858,1069.7,1,976.5,521.7,25,2.35,589.6,15920882
"373",294,15922254,813.7,1,1073.8,587.6,43,5.36,542.6,15922296
"374",179,15923032,912.7,1,829.4,540.3,25,1.83,574.1,15923056
"375",41,15923283,888.6,1,892.5,568.5,17,0.08,567.5,15923299
"376",124,15923729,897.6,1,897.2,554.4,29,0.28,540.9,15923757
"377",195,15924165,690.4,1,879,540.8,34,3.96,491.3,15924198
